"estimator","time","coef","se"
"TWFE",-5,387.542497716326,673.506126757445
"TWFE",-4,455.141551945715,611.507201174189
"TWFE",-3,714.570829767386,433.741959956113
"TWFE",-2,599.030575020314,364.318333695754
"TWFE",-1,0,0
"TWFE",0,1500.98047331579,818.951236242154
"TWFE",1,2833.01613206333,1029.76497974974
"TWFE",2,2880.21841792637,1285.07873113546
"TWFE",3,1553.63066105469,1254.71728073215
"TWFE",4,3774.04246801769,2439.97385052358
"TWFE",5,4385.74401245044,2196.60380174855
"TWFE",6,5651.307903,2392.34462122886
"CS-NT",-5,137.92315038403,378.967275855208
"CS-NT",-4,397.740787486084,377.79187572827
"CS-NT",-3,709.375525517075,252.586719527437
"CS-NT",-2,688.908542176848,256.735707506624
"CS-NT",-1,0,NA
"CS-NT",0,1281.23021933253,907.768912297693
"CS-NT",1,2839.93030662578,1072.75816757067
"CS-NT",2,2999.32650080719,1325.64533113172
"CS-NT",3,1696.82488769185,1039.13156318986
"CS-NT",4,3771.27793601256,2652.28786579657
"CS-NT",5,4775.27672577089,2192.16080371329
"CS-NT",6,5941.59013488775,2292.27033316126
"SA",-5,137.923150389423,369.215979364434
"SA",-4,397.740787491487,371.817625883445
"SA",-3,709.375525522496,264.988208777836
"SA",-2,688.908542182273,246.995378371851
"SA",0,1281.23021933798,737.933344051044
"SA",1,2839.9303066313,958.119234618105
"SA",2,2999.32650081272,1256.76478114875
"SA",3,1696.82488769732,1288.1701697729
"SA",4,3771.27793601813,2439.96859059176
"SA",5,4775.2767257765,2260.86552883007
"SA",6,5941.59013489343,2396.60371279521
"Gardner",-5,-225.939675178727,194.450952969469
"Gardner",-4,9.94231036266019,201.298052310384
"Gardner",-3,292.867756034186,168.291670799128
"Gardner",-2,274.286289732732,172.084978724129
"Gardner",0,894.440618219721,730.820653022616
"Gardner",1,2453.14070551297,952.40638152912
"Gardner",2,2612.53689969438,1221.40100209639
"Gardner",3,1310.03528657905,1264.5124597124
"Gardner",4,3384.48833489974,2420.60630131966
"Gardner",5,4388.48712465807,2229.52044668952
"Gardner",6,5554.80053377493,2358.91716994089
