"estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
"TWFE","full",2,4,0,0.5,0.5,0.00317431214762962,0.0136459745982474,0.0219923606352763
"CS-NYT","full_IF",2,4,0,0,0,0.00399112650940951,-0.00440036403254077,-0.0105159315808913
